Economy,Year,Population
01_AUS,1990,17.042
02_BD,1990,0.258
03_CDA,1990,27.692
04_CHL,1990,13.242
05_PRC,1990,1172.446
06_HKC,1990,5.782
07_INA,1990,181.437
08_JPN,1990,124.516
09_ROK,1990,42.923
10_MAS,1990,18.038
11_MEX,1990,85.358
12_NZ,1990,3.399
13_PNG,1990,4.313
14_PE,1990,21.827
15_RP,1990,61.948
16_RUS,1990,147.564
17_SIN,1990,3.013
18_CT,1990,20.311
19_THA,1990,56.583
20_USA,1990,252.53
21_VN,1990,68.21
27_WOR,1990,5330.94346
01_AUS,1991,17.272
02_BD,1991,0.266
03_CDA,1991,28.045
04_CHL,1991,13.457
05_PRC,1991,1189.184
06_HKC,1991,5.854
07_INA,1991,184.616
08_JPN,1991,124.94
09_ROK,1991,43.378
10_MAS,1991,18.53
11_MEX,1991,87.071
12_NZ,1991,3.446
13_PNG,1991,4.423
14_PE,1991,22.283
15_RP,1991,63.508
16_RUS,1991,148.035
17_SIN,1991,3.097
18_CT,1991,20.518
19_THA,1991,57.258
20_USA,1991,254.975
21_VN,1991,69.67
27_WOR,1991,5418.758803000001
01_AUS,1992,17.486
02_BD,1992,0.274
03_CDA,1992,28.385
04_CHL,1992,13.671
05_PRC,1992,1204.004
06_HKC,1992,5.92
07_INA,1992,187.766
08_JPN,1992,125.341
09_ROK,1992,43.853
10_MAS,1992,19.013
11_MEX,1992,88.828
12_NZ,1992,3.504
13_PNG,1992,4.535
14_PE,1992,22.737
15_RP,1992,65.075
16_RUS,1992,148.318
17_SIN,1992,3.189
18_CT,1992,20.717
19_THA,1992,57.838
20_USA,1992,257.455
21_VN,1992,71.13
27_WOR,1992,5504.401149
01_AUS,1993,17.688
02_BD,1993,0.281
03_CDA,1993,28.711
04_CHL,1993,13.883
05_PRC,1993,1217.129
06_HKC,1993,5.984
07_INA,1993,190.88
08_JPN,1993,125.717
09_ROK,1993,44.341
10_MAS,1993,19.495
11_MEX,1993,90.601
12_NZ,1993,3.565
13_PNG,1993,4.651
14_PE,1993,23.184
15_RP,1993,66.65
16_RUS,1993,148.431
17_SIN,1993,3.288
18_CT,1993,20.903
19_THA,1993,58.365
20_USA,1993,260.02
21_VN,1993,72.561
27_WOR,1993,5588.094837000001
01_AUS,1994,17.883
02_BD,1994,0.29
03_CDA,1994,29.027
04_CHL,1994,14.091
05_PRC,1994,1228.992
06_HKC,1994,6.055
07_INA,1994,193.945
08_JPN,1994,126.063
09_ROK,1994,44.826
10_MAS,1994,19.987
11_MEX,1994,92.349
12_NZ,1994,3.623
13_PNG,1994,4.771
14_PE,1994,23.619
15_RP,1994,68.236
16_RUS,1994,148.412
17_SIN,1994,3.385
18_CT,1994,21.074
19_THA,1994,58.901
20_USA,1994,262.741
21_VN,1994,73.925
27_WOR,1994,5670.319703
01_AUS,1995,18.077
02_BD,1995,0.297
03_CDA,1995,29.33
04_CHL,1995,14.297
05_PRC,1995,1239.94
06_HKC,1995,6.14
07_INA,1995,196.958
08_JPN,1995,126.376
09_ROK,1995,45.298
10_MAS,1995,20.496
11_MEX,1995,94.045
12_NZ,1995,3.675
13_PNG,1995,4.894
14_PE,1995,24.039
15_RP,1995,69.836
16_RUS,1995,148.289
17_SIN,1995,3.479
18_CT,1995,21.229
19_THA,1995,59.491
20_USA,1995,265.659
21_VN,1995,75.199
27_WOR,1995,5751.474416
01_AUS,1996,18.272
02_BD,1996,0.304
03_CDA,1996,29.622
04_CHL,1996,14.498
05_PRC,1996,1249.981
06_HKC,1996,6.242
07_INA,1996,199.914
08_JPN,1996,126.654
09_ROK,1996,45.757
10_MAS,1996,21.023
11_MEX,1996,95.687
12_NZ,1996,3.717
13_PNG,1996,5.022
14_PE,1996,24.441
15_RP,1996,71.446
16_RUS,1996,148.074
17_SIN,1996,3.566
18_CT,1996,21.364
19_THA,1996,60.152
20_USA,1996,268.803
21_VN,1996,76.373
27_WOR,1996,5831.56502
01_AUS,1997,18.468
02_BD,1997,0.312
03_CDA,1997,29.903
04_CHL,1997,14.695
05_PRC,1997,1259.067
06_HKC,1997,6.357
07_INA,1997,202.827
08_JPN,1997,126.902
09_ROK,1997,46.202
10_MAS,1997,21.566
11_MEX,1997,97.282
12_NZ,1997,3.752
13_PNG,1997,5.155
14_PE,1997,24.828
15_RP,1997,73.065
16_RUS,1997,147.769
17_SIN,1997,3.65
18_CT,1997,21.484
19_THA,1997,60.863
20_USA,1997,272.137
21_VN,1997,77.454
27_WOR,1997,5910.566295
01_AUS,1998,18.665
02_BD,1998,0.319
03_CDA,1998,30.178
04_CHL,1998,14.887
05_PRC,1998,1267.442
06_HKC,1998,6.473
07_INA,1998,205.715
08_JPN,1998,127.128
09_ROK,1998,46.627
10_MAS,1998,22.114
11_MEX,1998,98.822
12_NZ,1998,3.784
13_PNG,1998,5.291
14_PE,1998,25.2
15_RP,1998,74.694
16_RUS,1998,147.381
17_SIN,1998,3.732
18_CT,1998,21.596
19_THA,1998,61.598
20_USA,1998,275.543
21_VN,1998,78.453
27_WOR,1998,5988.846103
01_AUS,1999,18.864
02_BD,1999,0.326
03_CDA,1999,30.454
04_CHL,1999,15.077
05_PRC,1999,1275.407
06_HKC,1999,6.579
07_INA,1999,208.612
08_JPN,1999,127.336
09_ROK,1999,47.023
10_MAS,1999,22.656
11_MEX,1999,100.3
12_NZ,1999,3.819
13_PNG,1999,5.431
14_PE,1999,25.561
15_RP,1999,76.335
16_RUS,1999,146.92
17_SIN,1999,3.819
18_CT,1999,21.711
19_THA,1999,62.307
20_USA,1999,278.862
21_VN,1999,79.391
27_WOR,1999,6066.867391
01_AUS,2000,19.066
02_BD,2000,0.333
03_CDA,2000,30.736
04_CHL,2000,15.263
05_PRC,2000,1283.199
06_HKC,2000,6.663
07_INA,2000,211.54
08_JPN,2000,127.534
09_ROK,2000,47.387
10_MAS,2000,23.186
11_MEX,2000,101.72
12_NZ,2000,3.859
13_PNG,2000,5.572
14_PE,2000,25.915
15_RP,2000,77.991
16_RUS,2000,146.396
17_SIN,2000,3.914
18_CT,2000,21.84
19_THA,2000,62.958
20_USA,2000,281.982
21_VN,2000,80.285
27_WOR,2000,6145.006989
01_AUS,2001,19.269
02_BD,2001,0.34
03_CDA,2001,31.025
04_CHL,2001,15.445
05_PRC,2001,1290.938
06_HKC,2001,6.722
07_INA,2001,214.506
08_JPN,2001,127.723
09_ROK,2001,47.713
10_MAS,2001,23.699
11_MEX,2001,103.067
12_NZ,2001,3.908
13_PNG,2001,5.717
14_PE,2001,26.262
15_RP,2001,79.666
16_RUS,2001,145.815
17_SIN,2001,4.019
18_CT,2001,21.985
19_THA,2001,63.543
20_USA,2001,284.852
21_VN,2001,81.14
27_WOR,2001,6223.412158
01_AUS,2002,19.475
02_BD,2002,0.347
03_CDA,2002,31.321
04_CHL,2002,15.623
05_PRC,2002,1298.647
06_HKC,2002,6.759
07_INA,2002,217.508
08_JPN,2002,127.902
09_ROK,2002,48.004
10_MAS,2002,24.199
11_MEX,2002,104.356
12_NZ,2002,3.964
13_PNG,2002,5.862
14_PE,2002,26.601
15_RP,2002,81.352
16_RUS,2002,145.195
17_SIN,2002,4.131
18_CT,2002,22.143
19_THA,2002,64.073
20_USA,2002,287.507
21_VN,2002,81.956
27_WOR,2002,6302.149639
01_AUS,2003,19.697
02_BD,2003,0.353
03_CDA,2003,31.628
04_CHL,2003,15.8
05_PRC,2003,1306.344
06_HKC,2003,6.782
07_INA,2003,220.546
08_JPN,2003,128.068
09_ROK,2003,48.265
10_MAS,2003,24.688
11_MEX,2003,105.64
12_NZ,2003,4.022
13_PNG,2003,6.011
14_PE,2003,26.938
15_RP,2003,83.032
16_RUS,2003,144.585
17_SIN,2003,4.249
18_CT,2003,22.307
19_THA,2003,64.555
20_USA,2003,290.027
21_VN,2003,82.748
27_WOR,2003,6381.408987
01_AUS,2004,19.949
02_BD,2004,0.36
03_CDA,2004,31.95
04_CHL,2004,15.974
05_PRC,2004,1314.007
06_HKC,2004,6.803
07_INA,2004,223.615
08_JPN,2004,128.213
09_ROK,2004,48.498
10_MAS,2004,25.174
11_MEX,2004,106.996
12_NZ,2004,4.081
13_PNG,2004,6.162
14_PE,2004,27.273
15_RP,2004,84.679
16_RUS,2004,144.045
17_SIN,2004,4.37
18_CT,2004,22.462
19_THA,2004,65.002
20_USA,2004,292.539
21_VN,2004,83.528
27_WOR,2004,6461.370865
01_AUS,2005,20.239
02_BD,2005,0.365
03_CDA,2005,32.288
04_CHL,2005,16.147
05_PRC,2005,1321.623
06_HKC,2005,6.828
07_INA,2005,226.713
08_JPN,2005,128.335
09_ROK,2005,48.709
10_MAS,2005,25.66
11_MEX,2005,108.473
12_NZ,2005,4.136
13_PNG,2005,6.315
14_PE,2005,27.61
15_RP,2005,86.275
16_RUS,2005,143.618
17_SIN,2005,4.491
18_CT,2005,22.603
19_THA,2005,65.425
20_USA,2005,295.13
21_VN,2005,84.309
27_WOR,2005,6542.159383
01_AUS,2006,20.573
02_BD,2006,0.371
03_CDA,2006,32.646
04_CHL,2006,16.319
05_PRC,2006,1329.209
06_HKC,2006,6.861
07_INA,2006,229.838
08_JPN,2006,128.433
09_ROK,2006,48.895
10_MAS,2006,26.144
11_MEX,2006,110.092
12_NZ,2006,4.186
13_PNG,2006,6.47
14_PE,2006,27.95
15_RP,2006,87.809
16_RUS,2006,143.323
17_SIN,2006,4.612
18_CT,2006,22.726
19_THA,2006,65.824
20_USA,2006,297.827
21_VN,2006,85.095
27_WOR,2006,6623.847913
01_AUS,2007,20.947
02_BD,2007,0.374
03_CDA,2007,33.02
04_CHL,2007,16.491
05_PRC,2007,1336.8
06_HKC,2007,6.898
07_INA,2007,232.99
08_JPN,2007,128.506
09_ROK,2007,49.062
10_MAS,2007,26.626
11_MEX,2007,111.836
12_NZ,2007,4.233
13_PNG,2007,6.628
14_PE,2007,28.293
15_RP,2007,89.293
16_RUS,2007,143.15
17_SIN,2007,4.732
18_CT,2007,22.833
19_THA,2007,66.196
20_USA,2007,300.595
21_VN,2007,85.889
27_WOR,2007,6706.418593
01_AUS,2008,21.343
02_BD,2008,0.379
03_CDA,2008,33.405
04_CHL,2008,16.661
05_PRC,2008,1344.415
06_HKC,2008,6.94
07_INA,2008,236.159
08_JPN,2008,128.551
09_ROK,2008,49.219
10_MAS,2008,27.111
11_MEX,2008,113.662
12_NZ,2008,4.278
13_PNG,2008,6.787
14_PE,2008,28.642
15_RP,2008,90.752
16_RUS,2008,143.083
17_SIN,2008,4.851
18_CT,2008,22.929
19_THA,2008,66.546
20_USA,2008,303.374
21_VN,2008,86.707
27_WOR,2008,6789.77125300001
01_AUS,2009,21.739
02_BD,2009,0.384
03_CDA,2009,33.79
04_CHL,2009,16.829
05_PRC,2009,1352.068
06_HKC,2009,6.983
07_INA,2009,239.34
08_JPN,2009,128.566
09_ROK,2009,49.379
10_MAS,2009,27.605
11_MEX,2009,115.505
12_NZ,2009,4.324
13_PNG,2009,6.947
14_PE,2009,29.001
15_RP,2009,92.221
16_RUS,2009,143.093
17_SIN,2009,4.966
18_CT,2009,23.017
19_THA,2009,66.881
20_USA,2009,306.076
21_VN,2009,87.565
27_WOR,2009,6873.741053999999
01_AUS,2010,22.12
02_BD,2010,0.389
03_CDA,2010,34.168
04_CHL,2010,16.993
05_PRC,2010,1359.755
06_HKC,2010,7.025
07_INA,2010,242.524
08_JPN,2010,128.552
09_ROK,2010,49.552
10_MAS,2010,28.112
11_MEX,2010,117.319
12_NZ,2010,4.37
13_PNG,2010,7.108
14_PE,2010,29.374
15_RP,2010,93.727
16_RUS,2010,143.154
17_SIN,2010,5.074
18_CT,2010,23.102
19_THA,2010,67.209
20_USA,2010,308.642
21_VN,2010,88.472
27_WOR,2010,6958.169159
01_AUS,2011,22.48
02_BD,2011,0.394
03_CDA,2011,34.539
04_CHL,2011,17.153
05_PRC,2011,1367.48
06_HKC,2011,7.065
07_INA,2011,245.707
08_JPN,2011,128.506
09_ROK,2011,49.745
10_MAS,2011,28.635
11_MEX,2011,119.09
12_NZ,2011,4.418
13_PNG,2011,7.269
14_PE,2011,29.76
15_RP,2011,95.278
16_RUS,2011,143.264
17_SIN,2011,5.176
18_CT,2011,23.185
19_THA,2011,67.53
20_USA,2011,311.052
21_VN,2011,89.437
27_WOR,2011,7043.008586
01_AUS,2012,22.822
02_BD,2012,0.399
03_CDA,2012,34.901
04_CHL,2012,17.31
05_PRC,2012,1375.199
06_HKC,2012,7.106
07_INA,2012,248.883
08_JPN,2012,128.426
09_ROK,2012,49.953
10_MAS,2012,29.171
11_MEX,2012,120.829
12_NZ,2012,4.467
13_PNG,2012,7.431
14_PE,2012,30.159
15_RP,2012,96.866
16_RUS,2012,143.421
17_SIN,2012,5.271
18_CT,2012,23.264
19_THA,2012,67.844
20_USA,2012,313.336
21_VN,2012,90.452
27_WOR,2012,7128.1769349999995
01_AUS,2013,23.151
02_BD,2013,0.405
03_CDA,2013,35.256
04_CHL,2013,17.463
05_PRC,2013,1382.793
06_HKC,2013,7.149
07_INA,2013,252.033
08_JPN,2013,128.313
09_ROK,2013,50.169
10_MAS,2013,29.706
11_MEX,2013,122.536
12_NZ,2013,4.518
13_PNG,2013,7.593
14_PE,2013,30.566
15_RP,2013,98.481
16_RUS,2013,143.598
17_SIN,2013,5.361
18_CT,2013,23.34
19_THA,2013,68.143
20_USA,2013,315.536
21_VN,2013,91.497
27_WOR,2013,7213.426452
01_AUS,2014,23.474
02_BD,2014,0.411
03_CDA,2014,35.605
04_CHL,2014,17.614
05_PRC,2014,1390.11
06_HKC,2014,7.194
07_INA,2014,255.131
08_JPN,2014,128.162
09_ROK,2014,50.386
10_MAS,2014,30.228
11_MEX,2014,124.222
12_NZ,2014,4.567
13_PNG,2014,7.756
14_PE,2014,30.973
15_RP,2014,100.102
16_RUS,2014,143.761
17_SIN,2014,5.448
18_CT,2014,23.414
19_THA,2014,68.417
20_USA,2014,317.719
21_VN,2014,92.545
27_WOR,2014,7298.453033
01_AUS,2015,23.8
02_BD,2015,0.417
03_CDA,2015,35.949
04_CHL,2015,17.763
05_PRC,2015,1397.029
06_HKC,2015,7.246
07_INA,2015,258.162
08_JPN,2015,127.975
09_ROK,2015,50.594
10_MAS,2015,30.723
11_MEX,2015,125.891
12_NZ,2015,4.615
13_PNG,2015,7.92
14_PE,2015,31.377
15_RP,2015,101.716
16_RUS,2015,143.888
17_SIN,2015,5.535
18_CT,2015,23.486
19_THA,2015,68.657
20_USA,2015,319.929
21_VN,2015,93.572
27_WOR,2015,7383.00882
01_AUS,2016,24.125
02_BD,2016,0.423
03_CDA,2016,36.29
04_CHL,2016,17.91
05_PRC,2016,1403.5
06_HKC,2016,7.303
07_INA,2016,261.115
08_JPN,2016,127.749
09_ROK,2016,50.791
10_MAS,2016,31.187
11_MEX,2016,127.541
12_NZ,2016,4.661
13_PNG,2016,8.085
14_PE,2016,31.774
15_RP,2016,103.32
16_RUS,2016,143.965
17_SIN,2016,5.623
18_CT,2016,23.557
19_THA,2016,68.864
20_USA,2016,322.179
21_VN,2016,94.569
27_WOR,2016,7468.5442229655855
