Economy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,6271000,6683000,5850000,4811000,6054000,5740000,5925000,5441000,6419000,6831000,5511000,5294000,5120000,5757000,6326000,6256000,6400000,6500000,6600000,6600000,6100000,6000000,6800000,7000000,7500000,7400000,7420000,8126000,8224000,5916000,7716000,6672000,7152000,6376000,7142000,6968000,6478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_BD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,13306000,14118000,9418000,10771000,13089000,13185000,12539000,13395000,15244000,13985000,11222000,10688000,11160000,12714000,15324000,15047000,15300000,17700000,18200000,18200000,19800000,16900000,17671000,17233000,19314000,18014000,20130000,18248000,16799000,10591000,15656000,15746000,17305000,16445000,17527000,14827000,16717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_CHL,809000,724000,334000,462000,628000,570000,632000,818000,1026000,1008000,930000,1131000,1440000,1607000,1549000,1683000,2159000,2321000,2214000,1737000,1977000,2278000,2270000,2290000,2690000,2840000,2770000,2765000,3005000,1960000,2738000,3148000,3457000,3105000,3031000,3215000,3172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_PRC,43111000,39422000,41152000,50389000,56067000,71528000,75716000,69723000,69177000,70318000,68634000,70863000,85856000,129420000,118515000,99944000,111934000,114721000,122939000,136181000,138086000,170648000,205720000,258570000,296580000,350170000,393400000,435860000,465480000,574420000,612063000,667941000,687609000,772340000,739980000,700351000,708637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06_HKC,1990000,2050000,2154000,1903000,2485000,2873000,2388000,1737000,2861000,1897000,2026000,2301000,2233000,4091000,4474000,3404000,4563000,5116000,4961000,5037000,5223000,5057000,4966000,4851000,5163000,4204000,2625000,2707000,1985000,1703000,1929000,1886000,1991000,2436000,2727000,3773000,3231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,2837000,3013000,2846000,2676000,1810000,2181000,2838000,2576000,2690000,3085000,4690000,4479000,4452000,5833000,5281000,7262000,7675000,7486000,3626000,3546000,5287000,5457000,5248000,5063000,6175000,7814000,7494000,8694000,10587000,8908000,10744000,13148000,15006000,15237000,15483000,13656000,15214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08_JPN,79007000,71136000,69504000,65614000,74367000,73377000,69941000,75751000,86871000,93278000,99032000,99151000,84040000,80589000,79333000,84340000,84400000,85500000,72500000,71000000,79600000,75200000,73600000,76400000,80500000,82900000,83300000,85900000,83200000,56000000,67400000,69600000,68800000,70800000,72900000,67800000,67500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09_ROK,6100000,7480000,7630000,8620000,10120000,10910000,11600000,15048000,15825000,18267000,21478000,26068000,23238000,26710000,32188000,37306000,39400000,39900000,25800000,35200000,40000000,39700000,45400000,47500000,49100000,49000000,52210000,57404000,61011000,47303000,54573000,58741000,56322000,53919000,57834000,58125000,59520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_MAS,1751000,1738000,2379000,2673000,2408000,2305000,2146000,1668000,1847000,2377000,2938000,4137000,4532000,5592000,5302000,8313000,8705000,8848000,4471000,6158000,6761000,8024000,7640000,6693000,7709000,7263000,7883000,8947000,9873000,7727000,9668000,9578000,10374000,11685000,11720000,11629000,11925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_MEX,10316000,11309000,8182000,6235000,7261000,7564000,6694000,6429000,6871000,7285000,8257000,9072000,9431000,8745000,11101000,8423000,11924000,14438000,16832000,17623000,19800000,18790000,19673000,20608000,22298000,22434000,25480000,25111000,23984000,17098000,20648000,23140000,23714000,22904000,26073000,27707000,28421000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_NZ,612000,732000,794000,751000,794000,680000,607000,864000,671000,686000,680000,538000,619000,726000,844000,908000,916000,780000,740000,830000,960000,1000000,1100000,1100000,1200000,1200000,1200000,1230000,1190000,740000,971000,931000,974000,1016000,1140000,1067000,999000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13_PNG,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_PE,615000,764000,451000,339000,471000,533000,550000,581000,567000,452000,425000,552000,508000,634000,815000,1152000,856000,1160000,1436000,929000,1098000,1023000,1310000,1200000,1090000,1265000,1670000,1805000,2514000,1854000,2832000,2833000,3130000,3235000,3392000,4084000,3820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_RP,953000,957000,1442000,1557000,912000,1001000,1237000,1624000,2112000,2435000,2316000,2076000,2666000,3069000,3114000,4686000,4992000,4601000,3257000,3589000,3309000,3386000,4041000,3881000,3284000,2890000,3675000,3950000,4134000,3993000,4650000,5940000,6986000,7796000,8517000,10186000,11253000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_RUS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59057000,39747000,21037000,21894000,19600000,18600000,18400000,21589000,29412000,31861000,29260000,32700000,35200000,36200000,41520000,46959000,40896000,28477000,41444000,47981000,49488000,49671000,49423000,44746000,43424000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_SIN,1793000,2114000,2561000,2775000,2282000,1914000,1937000,2216000,2545000,3021000,3453000,3631000,3399000,4156000,4089000,4993000,4872000,5611000,4820000,3706000,3730000,3547000,3781000,3645000,3996000,3440000,3000000,3800000,4226000,3540000,3350000,4900000,4782000,5345000,4791000,5019000,3540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_CT,6294000,5570000,5080000,5770000,6090000,6320000,7840000,9401000,11630000,14100000,15350000,18920000,21300000,25110000,22980000,24090000,21610000,25240000,24220000,24470000,25300000,20910000,24470000,23830000,26460000,23890000,23790000,21700000,20290000,13530000,21350000,21715000,21332000,22285000,23469000,21032000,21932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_THA,1974000,1839000,2430000,2901000,2417000,2907000,2135000,3109000,4094000,5083000,6783000,7114000,8568000,8055000,11375000,11958000,9684000,8366000,4187000,6909000,7177000,8178000,10806000,11896000,14144000,15273000,15360000,14160000,15655000,12501000,16378000,16881000,19047000,20732000,20544000,19403000,22340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_USA,114015000,128523000,83934000,94011000,111152000,105095000,94872000,100518000,110295000,101986000,103052000,89599000,97372000,104356000,117471000,112583000,119867000,124017000,135145000,127857000,133262000,114386000,118257000,105767000,123822000,113265000,134040000,120381000,110500000,69400000,92400000,101000000,108300000,106300000,121600000,108333000,102570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_VN,-1,-1,-1,-1,-1,-1,-1,306000,126000,194000,215000,263000,485000,899000,552000,752000,1703000,1720000,2123000,2538000,2934000,4036000,5234000,5230000,6212000,7653000,7148000,10833000,9516000,12700000,12293000,11276000,12740000,13685000,16226000,20510000,25088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
